Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country_Region,City,State_Province,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Days To Ship,Ship Days,First Order,Manufacturer,Order Priority,Gender,Holiday ID,Is Holiday,Delivery Date,Return ID,Is Returned,Shipment Status
9406,US-2024-148985,11-11-2024 00:00,15-11-2024 00:00,Second Class,TB-21190,Thomas Brumley,Home Office,United States,Los Angeles,California,90045,West,FUR-FU-10001424,Furniture,Furnishings,Dax Clear Box Frame,34.92,4,0,11.88,4 days,4,27-12-2021 00:00,DAX,Medium,Male,44,National Holiday,20-11-2024 00:00,0,FALSE,On Time
9409,US-2024-110842,11-11-2024 00:00,16-11-2024 00:00,Standard Class,GA-14725,Guy Armstrong,Consumer,United States,Los Angeles,California,90036,West,OFF-AP-10003971,Office Supplies,Appliances,Belkin 6 Outlet Metallic Surge Strip,8.71,1,0,1.21,5 days,5,11-02-2021 00:00,Belkin,Medium,Male,44,National Holiday,19-11-2024 00:00,0,FALSE,Delayed
9410,US-2024-157483,11-11-2024 00:00,18-11-2024 00:00,Standard Class,EP-13915,Emily Phan,Consumer,United States,Detroit,Michigan,48227,Central,OFF-AR-10004260,Office Supplies,Art,Boston 1799 Powerhouse Electric Pencil Sharpener,181.86,7,0,50.89,7 days,7,06-07-2021 00:00,Boston,Low,Female,44,National Holiday,21-11-2024 00:00,0,FALSE,Delayed
9411,US-2024-110842,11-11-2024 00:00,16-11-2024 00:00,Standard Class,GA-14725,Guy Armstrong,Consumer,United States,Los Angeles,California,90036,West,OFF-BI-10000977,Office Supplies,Binders,Ibico Plastic Spiral Binding Combs,152,5,0.2,69.9,5 days,5,11-02-2021 00:00,Ibico,Medium,Male,44,National Holiday,19-11-2024 00:00,0,FALSE,Delayed
1702,US-2021-144078,25-11-2021 00:00,29-11-2021 00:00,Standard Class,RB-19435,Richard Bierner,Consumer,United States,Los Angeles,California,90004,West,FUR-CH-10002335,Furniture,Chairs,Hon GuestStacker Chair,906.68,4,0.2,235.72,4 days,4,11-03-2021 00:00,Hon,Medium,Male,10,National Holiday,02-12-2021 00:00,0,FALSE,Delayed
1703,US-2021-127446,25-11-2021 00:00,30-11-2021 00:00,Standard Class,MC-17590,Matt Collister,Corporate,United States,Arlington,Texas,76017,Central,FUR-FU-10000221,Furniture,Furnishings,"Master Caster Door Stop, Brown",15.24,3,0.6,5.19,5 days,5,20-05-2021 00:00,Master-Caster,Medium,Male,10,National Holiday,03-12-2021 00:00,0,FALSE,Delayed
1704,US-2021-122588,25-11-2021 00:00,27-11-2021 00:00,Second Class,AR-10540,Andy Reiter,Consumer,United States,Woonsocket,Rhode Island,2895,East,FUR-FU-10001095,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,42.36,2,0,10.06,2 days,2,25-11-2021 00:00,DAX,High,Male,10,National Holiday,02-12-2021 00:00,0,FALSE,On Time
9640,US-2024-128300,24-11-2024 00:00,26-11-2024 00:00,Second Class,RS-19765,Roland Schwarz,Corporate,United States,Summerville,South Carolina,29483,South,TEC-PH-10002807,Technology,Phones,Motorla HX550 Universal Bluetooth Headset,50.62,2,0,18.98,2 days,2,07-04-2021 00:00,Motorola,Medium,Male,0,Weekend Holidays,01-12-2024 00:00,0,FALSE,On Time
9553,US-2024-158876,19-11-2024 00:00,21-11-2024 00:00,Second Class,AB-10150,Aimee Bixby,Consumer,United States,Carrollton,Texas,75007,Central,OFF-AR-10003373,Office Supplies,Art,"Boston School Pro Electric Pencil Sharpener, 1670",99.12,4,0.2,25.08,2 days,2,05-03-2021 00:00,Boston,Medium,Female,0,Business Working Day,26-11-2024 00:00,0,FALSE,On Time
2611,US-2022-163923,30-05-2022 00:00,03-06-2022 00:00,Standard Class,BD-11560,Brendan Dodson,Home Office,United States,Springfield,Virginia,22153,South,TEC-AC-10000358,Technology,Accessories,Imation Secure Drive + Hardware Encrypted USB flash drive - 16 GB,151.96,4,0,36.48,4 days,4,30-05-2022 00:00,Imation,High,Male,15,National Holiday,06-06-2022 00:00,0,FALSE,Delayed
